facts_id|order_id|freight|order_date|unit_price|quantity|discount|amount|product_id|supplier_id|category_id|employee_id|customer_id|type_sales|discount_percentage|profit|profit_margin
1|10248|32.38|1996-07-04 00:00:00|14.0|12|0.0|168.0|11|5|4|5|VINET|high sales|0.0|135.62|80.72619047619047
2|10248|32.38|1996-07-04 00:00:00|9.8|10|0.0|98.00000190734865|42|20|5|5|VINET|low sales|0.0|65.62000190734864|66.95918431653422
3|10248|32.38|1996-07-04 00:00:00|34.8|5|0.0|173.9999961853027|72|14|4|5|VINET|high sales|0.0|141.6199961853027|81.39080418972156
4|10249|11.61|1996-07-05 00:00:00|18.6|9|0.0|167.40000343322754|14|6|7|6|TOMSP|high sales|0.0|155.79000343322753|93.06451627127295
5|10249|11.61|1996-07-05 00:00:00|42.4|40|0.0|1696.0000610351562|51|24|7|6|TOMSP|high sales|0.0|1684.3900610351564|99.315448137843
6|10250|65.83|1996-07-08 00:00:00|7.7|10|0.0|76.99999809265137|41|19|8|4|HANAR|low sales|0.0|11.169998092651369|14.5064913887542
7|10250|65.83|1996-07-08 00:00:00|42.4|35|222.60000801086423|1484.0000534057615|51|24|7|4|HANAR|high sales|15.0|1418.1700534057616|95.56401633214765
8|10250|65.83|1996-07-08 00:00:00|16.8|15|37.79999828338623|251.9999885559082|65|2|2|4|HANAR|high sales|15.0|186.16998855590822|73.87698294065792
9|10251|41.34|1996-07-08 00:00:00|16.8|6|5.039999771118165|100.79999542236328|22|9|5|3|VICTE|high sales|5.000000000000001|59.45999542236328|58.988093375618945
10|10251|41.34|1996-07-08 00:00:00|15.6|15|11.700000286102295|234.0000057220459|57|26|5|3|VICTE|high sales|5.0|192.6600057220459|82.33333376533963
11|10251|41.34|1996-07-08 00:00:00|16.8|20|0.0|335.99998474121094|65|2|2|3|VICTE|high sales|0.0|294.6599847412109|87.69642801268567
12|10252|51.3|1996-07-09 00:00:00|64.8|40|129.60000610351562|2592.0001220703125|20|8|3|4|SUPRD|high sales|5.0|2540.7001220703123|98.02083342654223
13|10252|51.3|1996-07-09 00:00:00|2.0|25|2.5|50.0|33|15|4|4|SUPRD|low sales|5.0|-1.2999999999999972|-2.5999999999999943
14|10252|51.3|1996-07-09 00:00:00|27.2|40|0.0|1088.000030517578|60|28|4|4|SUPRD|high sales|0.0|1036.700030517578|95.28492660284249
15|10253|58.17|1996-07-10 00:00:00|10.0|20|0.0|200.0|31|14|4|3|HANAR|high sales|0.0|141.82999999999998|70.91499999999999
16|10253|58.17|1996-07-10 00:00:00|14.4|42|0.0|604.7999839782715|39|18|1|3|HANAR|high sales|0.0|546.6299839782715|90.38194418965298
17|10253|58.17|1996-07-10 00:00:00|16.0|40|0.0|640.0|49|23|3|3|HANAR|high sales|0.0|581.83|90.91093750000002
18|10254|22.98|1996-07-11 00:00:00|3.6|15|8.099999785423279|53.999998569488525|24|10|1|5|CHOPS|low sales|15.0|31.019998569488525|57.444443317107186
19|10254|22.98|1996-07-11 00:00:00|19.2|21|60.48000240325928|403.2000160217285|55|25|6|5|CHOPS|high sales|15.0|380.2200160217285|94.30059546456923
20|10254|22.98|1996-07-11 00:00:00|8.0|21|0.0|168.0|74|4|7|5|CHOPS|high sales|0.0|145.02|86.32142857142858
21|10255|148.33|1996-07-12 00:00:00|15.2|20|0.0|303.99999618530273|2|1|1|9|RICSU|high sales|0.0|155.66999618530272|51.20723622983676
22|10255|148.33|1996-07-12 00:00:00|13.9|35|0.0|486.4999866485596|16|7|3|9|RICSU|high sales|0.0|338.16998664855964|69.51079053016473
23|10255|148.33|1996-07-12 00:00:00|15.2|25|0.0|379.9999952316284|36|17|8|9|RICSU|high sales|0.0|231.6699952316284|60.96578898386941
24|10255|148.33|1996-07-12 00:00:00|44.0|30|0.0|1320.0|59|28|4|9|RICSU|high sales|0.0|1171.67|88.76287878787879
25|10256|13.97|1996-07-15 00:00:00|26.2|15|0.0|393.0000114440918|53|24|6|3|WELLI|high sales|0.0|379.03001144409177|96.4452927243776
26|10256|13.97|1996-07-15 00:00:00|10.4|12|0.0|124.79999542236328|77|12|2|3|WELLI|high sales|0.0|110.82999542236328|88.80608933299955
27|10257|81.91|1996-07-16 00:00:00|35.1|25|0.0|877.4999618530273|27|11|3|4|HILAA|high sales|0.0|795.5899618530274|90.66552665973573
28|10257|81.91|1996-07-16 00:00:00|14.4|6|0.0|86.39999771118164|39|18|1|4|HILAA|low sales|0.0|4.489997711181644|5.19675674783098
29|10257|81.91|1996-07-16 00:00:00|10.4|15|0.0|155.9999942779541|77|12|2|4|HILAA|high sales|0.0|74.0899942779541|47.493587817666025
30|10258|140.51|1996-07-17 00:00:00|15.2|50|151.99999809265137|759.9999904632568|2|1|1|1|ERNSH|high sales|20.0|619.4899904632568|81.51184187326736
31|10258|140.51|1996-07-17 00:00:00|17.0|65|221.0|1105.0|5|2|2|1|ERNSH|high sales|20.0|964.49|87.2841628959276
