"facts_id","order_id","freight","order_date","unit_price","quantity","discount","amount","product_id","supplier_id","category_id","employee_id","customer_id"
"1",10248,"32.38000000","1996-07-04 00:00:00","14.00000000",12,"0.00000000","168",11,5,4,5,"VINET"
"2",10248,"32.38000000","1996-07-04 00:00:00","9.80000000",10,"0.00000000","98.00000190734863",42,20,5,5,"VINET"
"3",10248,"32.38000000","1996-07-04 00:00:00","34.80000000",5,"0.00000000","173.99999618530273",72,14,4,5,"VINET"
"4",10249,"11.61000000","1996-07-05 00:00:00","18.60000000",9,"0.00000000","167.40000343322754",14,6,7,6,"TOMSP"
"5",10249,"11.61000000","1996-07-05 00:00:00","42.40000000",40,"0.00000000","1696.0000610351562",51,24,7,6,"TOMSP"
"6",10250,"65.83000000","1996-07-08 00:00:00","7.70000000",10,"0.00000000","76.99999809265137",41,19,8,4,"HANAR"
"7",10250,"65.83000000","1996-07-08 00:00:00","42.40000000",35,"0.15000000","1484.0000534057617",51,24,7,4,"HANAR"
"8",10250,"65.83000000","1996-07-08 00:00:00","16.80000000",15,"0.15000000","251.9999885559082",65,2,2,4,"HANAR"
"9",10251,"41.34000000","1996-07-08 00:00:00","16.80000000",6,"0.05000000","100.79999542236328",22,9,5,3,"VICTE"
"10",10251,"41.34000000","1996-07-08 00:00:00","15.60000000",15,"0.05000000","234.0000057220459",57,26,5,3,"VICTE"
"11",10251,"41.34000000","1996-07-08 00:00:00","16.80000000",20,"0.00000000","335.99998474121094",65,2,2,3,"VICTE"
"12",10252,"51.30000000","1996-07-09 00:00:00","64.80000000",40,"0.05000000","2592.0001220703125",20,8,3,4,"SUPRD"
"13",10252,"51.30000000","1996-07-09 00:00:00","2.00000000",25,"0.05000000","50",33,15,4,4,"SUPRD"
"14",10252,"51.30000000","1996-07-09 00:00:00","27.20000000",40,"0.00000000","1088.0000305175781",60,28,4,4,"SUPRD"
"15",10253,"58.17000000","1996-07-10 00:00:00","10.00000000",20,"0.00000000","200",31,14,4,3,"HANAR"
"16",10253,"58.17000000","1996-07-10 00:00:00","14.40000000",42,"0.00000000","604.7999839782715",39,18,1,3,"HANAR"
"17",10253,"58.17000000","1996-07-10 00:00:00","16.00000000",40,"0.00000000","640",49,23,3,3,"HANAR"
"18",10254,"22.98000000","1996-07-11 00:00:00","3.60000000",15,"0.15000000","53.999998569488525",24,10,1,5,"CHOPS"
"19",10254,"22.98000000","1996-07-11 00:00:00","19.20000000",21,"0.15000000","403.2000160217285",55,25,6,5,"CHOPS"
"20",10254,"22.98000000","1996-07-11 00:00:00","8.00000000",21,"0.00000000","168",74,4,7,5,"CHOPS"
"21",10255,"148.33000000","1996-07-12 00:00:00","15.20000000",20,"0.00000000","303.99999618530273",2,1,1,9,"RICSU"
"22",10255,"148.33000000","1996-07-12 00:00:00","13.90000000",35,"0.00000000","486.49998664855957",16,7,3,9,"RICSU"
"23",10255,"148.33000000","1996-07-12 00:00:00","15.20000000",25,"0.00000000","379.9999952316284",36,17,8,9,"RICSU"
"24",10255,"148.33000000","1996-07-12 00:00:00","44.00000000",30,"0.00000000","1320",59,28,4,9,"RICSU"
"25",10256,"13.97000000","1996-07-15 00:00:00","26.20000000",15,"0.00000000","393.0000114440918",53,24,6,3,"WELLI"
"26",10256,"13.97000000","1996-07-15 00:00:00","10.40000000",12,"0.00000000","124.79999542236328",77,12,2,3,"WELLI"
"27",10257,"81.91000000","1996-07-16 00:00:00","35.10000000",25,"0.00000000","877.4999618530273",27,11,3,4,"HILAA"
"28",10257,"81.91000000","1996-07-16 00:00:00","14.40000000",6,"0.00000000","86.39999771118164",39,18,1,4,"HILAA"
"29",10257,"81.91000000","1996-07-16 00:00:00","10.40000000",15,"0.00000000","155.9999942779541",77,12,2,4,"HILAA"
"30",10258,"140.51000000","1996-07-17 00:00:00","15.20000000",50,"0.20000000","759.9999904632568",2,1,1,1,"ERNSH"
"31",10258,"140.51000000","1996-07-17 00:00:00","17.00000000",65,"0.20000000","1105",5,2,2,1,"ERNSH"
